class,n_per_class,class_shock,student,student_shock,Y_Z_0,Y_Z_1,Z,Z_cond_prob,Y,condition
01,12,1044.9483893104152,001,-85.27913057389158,959.6692587365236,1059.6692587365237,0,0.5,959.6692587365236,Control
01,12,1044.9483893104152,002,-28.705484255069482,1016.2429050553458,1116.2429050553458,0,0.5,1016.2429050553458,Control
01,12,1044.9483893104152,003,-85.92340446404617,959.0249848463691,1059.024984846369,0,0.5,959.0249848463691,Control
01,12,1044.9483893104152,004,110.36080230251653,1155.3091916129317,1255.3091916129317,0,0.5,1155.3091916129317,Control
01,12,1044.9483893104152,005,-114.25148687247616,930.6969024379391,1030.6969024379391,0,0.5,930.6969024379391,Control
01,12,1044.9483893104152,006,94.09612549722394,1139.0445148076392,1239.0445148076392,0,0.5,1139.0445148076392,Control
01,12,1044.9483893104152,007,48.07230584439507,1093.0206951548103,1193.0206951548103,0,0.5,1093.0206951548103,Control
01,12,1044.9483893104152,008,-203.13609545590924,841.8122938545059,941.8122938545059,0,0.5,841.8122938545059,Control
01,12,1044.9483893104152,009,262.0053588417372,1306.9537481521525,1406.9537481521525,0,0.5,1306.9537481521525,Control
01,12,1044.9483893104152,010,104.63743302624262,1149.5858223366579,1249.5858223366579,0,0.5,1149.5858223366579,Control
01,12,1044.9483893104152,011,-198.4717614203818,846.4766278900335,946.4766278900335,0,0.5,846.4766278900335,Control
01,12,1044.9483893104152,012,-154.73356649259478,890.2148228178205,990.2148228178205,0,0.5,890.2148228178205,Control
02,19,892.5719813235931,013,-238.94738989754862,653.6245914260445,753.6245914260445,1,0.5,753.6245914260445,Treatment
02,19,892.5719813235931,014,-87.05964265053184,805.5123386730613,905.5123386730613,1,0.5,905.5123386730613,Treatment
02,19,892.5719813235931,015,468.0513224595993,1360.6233037831926,1460.6233037831926,1,0.5,1460.6233037831926,Treatment
02,19,892.5719813235931,016,233.7415971329518,1126.313578456545,1226.313578456545,1,0.5,1226.313578456545,Treatment
02,19,892.5719813235931,017,151.75306626367703,1044.32504758727,1144.32504758727,1,0.5,1144.32504758727,Treatment
02,19,892.5719813235931,018,-57.89176229031501,834.6802190332781,934.6802190332781,1,0.5,934.6802190332781,Treatment
02,19,892.5719813235931,019,-143.16639656372763,749.4055847598655,849.4055847598655,1,0.5,849.4055847598655,Treatment
02,19,892.5719813235931,020,277.22408781334724,1169.7960691369403,1269.7960691369403,1,0.5,1269.7960691369403,Treatment
02,19,892.5719813235931,021,11.048927137740385,903.6209084613336,1003.6209084613336,1,0.5,1003.6209084613336,Treatment
02,19,892.5719813235931,022,212.92125921808895,1105.493240541682,1205.493240541682,1,0.5,1205.493240541682,Treatment
02,19,892.5719813235931,023,81.7367511431564,974.3087324667496,1074.3087324667495,1,0.5,1074.3087324667495,Treatment
02,19,892.5719813235931,024,-73.15787544479815,819.414105878795,919.414105878795,1,0.5,919.414105878795,Treatment
02,19,892.5719813235931,025,-50.97628998849784,841.5956913350954,941.5956913350954,1,0.5,941.5956913350954,Treatment
02,19,892.5719813235931,026,-176.98054322657114,715.591438097022,815.591438097022,1,0.5,815.591438097022,Treatment
02,19,892.5719813235931,027,-183.09966461084161,709.4723167127515,809.4723167127515,1,0.5,809.4723167127515,Treatment
02,19,892.5719813235931,028,41.11089031301375,933.6828716366069,1033.682871636607,1,0.5,1033.682871636607,Treatment
02,19,892.5719813235931,029,-77.17075937506272,815.4012219485304,915.4012219485304,1,0.5,915.4012219485304,Treatment
02,19,892.5719813235931,030,-146.31827498570217,746.253706337891,846.253706337891,1,0.5,846.253706337891,Treatment
02,19,892.5719813235931,031,-20.37711424836364,872.1948670752295,972.1948670752295,1,0.5,972.1948670752295,Treatment
03,14,1016.1253383154715,032,-10.184128975274263,1005.9412093401972,1105.9412093401972,1,0.5,1105.9412093401972,Treatment
03,14,1016.1253383154715,033,149.15944243211115,1165.2847807475825,1265.2847807475825,1,0.5,1265.2847807475825,Treatment
03,14,1016.1253383154715,034,-61.21821283636833,954.9071254791031,1054.9071254791031,1,0.5,1054.9071254791031,Treatment
03,14,1016.1253383154715,035,-313.6043020872394,702.5210362282321,802.5210362282321,1,0.5,802.5210362282321,Treatment
03,14,1016.1253383154715,036,100.98575760705903,1117.1110959225305,1217.1110959225305,1,0.5,1217.1110959225305,Treatment
